DATE,Monetary Base,Currency in Circulation,Gross Domestic Product,Real Gross Domestic Product,U.S. / Euro Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate
2011-06-30,2570766.6666666665,1017.0580769230769,15557.535,15876.839,1.4399109374999999,1.6308937499999998
2011-09-30,2660066.6666666665,1033.7256153846154,15647.681,15870.684,1.4122562500000004,1.61023125
2011-12-31,2620933.3333333335,1054.6379230769232,15842.267,16048.702,1.3476180327868847,1.5718442622950823
2012-03-31,2663466.6666666665,1081.5702307692309,16068.824,16179.968,1.312143548387097,1.5720806451612908
2012-06-30,2625033.3333333335,1104.0334615384616,16207.13,16253.726,1.2835531250000003,1.5828109375000001
2012-09-30,2631133.3333333335,1118.4545384615385,16319.54,16282.151,1.2507619047619047,1.5800936507936512
2012-12-31,2644833.3333333335,1145.844,16420.386,16300.035,1.2976790322580645,1.606477419354839
2013-03-31,2840666.6666666665,1165.8588461538461,16629.05,16441.485,1.3196491803278683,1.550760655737705
2013-06-30,3110033.3333333335,1184.4296923076922,16699.551,16464.402,1.3064468750000002,1.5363203125000002
2013-09-30,3392233.3333333335,1200.2620769230766,16911.068,16594.743,1.3251781249999999,1.5511656250000003
2013-12-31,3663866.6666666665,1220.8958461538462,17133.114,16712.76,1.3619419354838704,1.619529032258064
2014-03-31,3815933.3333333335,1242.6645384615383,17144.281,16654.247,1.3705049180327873,1.6550557377049182
2014-06-30,3930300.0,1274.7640000000001,17462.703,16868.109,1.3716015624999998,1.6831562500000004
2014-09-30,4037766.6666666665,1287.479076923077,17743.227,17064.616,1.3250390625000004,1.6691359375
2014-12-31,3922133.3333333335,1310.1174285714285,17852.54,17141.235,1.249703278688525,1.5836672131147542
2015-03-31,3962733.3333333335,1343.1558333333335,17991.348,17280.647,1.1245590163934427,1.5134049180327864
2015-06-30,3976133.3333333335,1363.2724615384614,18193.707,17380.875,1.1068671874999998,1.5329296875000005
2015-09-30,3991233.3333333335,1376.3177142857146,18306.96,17437.08,1.1118765625,1.5493109375
2015-12-31,3967666.6666666665,1404.069153846154,18332.079,17462.579,1.0953919354838706,1.5168790322580643
2016-03-31,3854533.3333333335,1425.970230769231,18425.306,17565.465,1.1034887096774193,1.4306048387096775
2016-06-30,3844966.6666666665,1451.5439999999996,18611.617,17618.581,1.1295484375,1.4344468750000001
2016-09-30,3775033.3333333335,1465.9547692307694,18775.459,17724.489,1.1162859375,1.3124359375
2016-12-31,3577833.3333333335,1487.950846153846,18968.041,17812.56,1.0779688524590163,1.2415885245901639
2017-03-31,3732733.3333333335,1513.2713846153845,19153.912,17896.623,1.066085245901639,1.2399245901639346
2017-06-30,3786300.0,1547.6573076923078,19322.92,17996.802,1.1007796875,1.2797625
2017-09-30,3859966.6666666665,1568.4609230769233,19558.693,18126.226,1.1755031746031743,1.3089174603174603
2017-12-31,3862866.6666666665,1593.2221538461538,19882.965,18296.685,1.1777819672131153,1.3273081967213112
2018-03-31,3826833.3333333335,1619.536692307692,20143.716,18436.262,1.2289161290322577,1.391967741935484
2018-06-30,3684133.3333333335,1650.7141538461537,20492.492,18590.004,1.19221875,1.3612140624999993
2018-09-30,3587533.3333333335,1675.102,20659.102,18679.599,1.1628904761904766,1.302957142857143
2018-12-31,3465966.6666666665,1698.8182307692307,20813.325,18721.281,1.1414199999999999,1.2870116666666673
2019-03-31,3360633.3333333335,1712.062692307692,21001.591,18833.195,1.1353677966101692,1.3030610169491528
2019-06-30,3268666.6666666665,1732.1393076923075,21289.268,18982.528,1.1236921874999999,1.2858546874999996
2019-09-30,3244800.0,1752.4306153846155,21505.012,19112.653,1.1120421875,1.2328562500000007
2019-12-31,3331633.3333333335,1782.0666923076922,21694.458,19202.31,1.1074645161290324,1.2879612903225806
2020-03-31,3593400.0,1806.3969230769228,21481.367,18951.992,1.1022016129032262,1.278751612903226
2020-06-30,4998700.0,1921.3301538461537,19477.444,17258.205,1.101575,1.2418484375
2020-09-30,4796000.0,2002.9045714285717,21138.574,18560.774,1.1698171875,1.292665625
2020-12-31,5072200.0,2056.6130769230767,21477.597,18767.778,1.1925416666666666,1.320441666666667
2021-03-31,5511266.666666667,2103.954692307692,22038.226,19055.655,1.2045333333333332,1.37979
2021-06-30,6037033.333333333,2168.1053076923076,22740.959,19368.31,1.2050421875000001,1.3981296875000002
2021-09-30,6229550.0,2190.0220769230773,,,1.1784140624999997,1.3779171874999996
