ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,RGDP Per Capita Lag,Log RGDP Per Capita,Log RGDP Per Capita Lag,North America,Inflation
BOL,1/1/08,-0.229718312,0.043981793,-0.073670431,-0.75811613,0.069364877,-0.430151667,-75,-118,-0.015001781,-0.023156451,0,4.816767674
BOL,1/1/07,0.054262015,-0.035347651,0.107741718,0.270167451,-0.101755939,0.030504494,-200,-75,-0.041141137,-0.015001781,0,4.282396048
BOL,1/1/06,0.233458315,-0.087357911,0.221986376,0.418143343,0.251985589,0.362534175,-121,-200,-0.025737888,-0.041141137,0,4.112183912
BOL,1/1/05,0.079722456,0.4609153,-0.074352868,0.241176106,-0.008811262,-0.220314996,-127,-121,-0.027746182,-0.025737888,0,3.382646819
BOL,1/1/04,0.027716252,0.034609713,-0.218043863,0.358847839,0.117369701,-0.154202131,-105,-127,-0.023535772,-0.027746182,0,3.032139473
BOL,1/1/03,0.051941743,0.393573315,-0.040414507,0.070595986,0.179640071,-0.343686149,-91,-105,-0.020855574,-0.023535772,0,2.981574539
BOL,1/1/02,0.082550049,0.517758692,-0.147618396,0.357330304,-0.019072697,-0.295647656,-26,-91,-0.006039507,-0.020855574,0,3.838284639
BOL,1/1/01,0.17490816,0.149814043,0.06644777,-0.105658608,0.101628534,0.662309062,-17,-26,-0.003968722,-0.006039507,0,3.494464976
BIH,1/1/14,0.167406512,-0.033506952,0.468046001,0.069071276,0.129931295,0.203490941,-294,-251,-0.03145317,-0.0260916,0,2.621050017
BIH,1/1/13,-0.185011149,0.055255797,-0.386552302,0.07166594,-0.416646036,-0.248779143,-108,-294,-0.011807287,-0.03145317,0,3.725326661
